Key,T1,T2,T3
0_0,0.48277327,0.38364697,0.7733929
0_1,0.7607176,0.3531906,0.49057496
0_2,0.62948024,0.47848725,0.59148824
0_3,0.46643323,0.45451075,0.73849195
0_4,0.50590485,0.7339604,0.39520907
0_5,0.89398074,0.24337134,0.33359024
0_6,0.594596,0.60629517,0.50896907
0_7,0.5467107,0.77509326,0.28429198
0_8,0.8673769,0.3122386,0.32990357
0_9,0.48942295,0.53375363,0.6800767
0_10,0.62792754,0.4684153,0.60545486
0_11,0.35630962,0.7308604,0.50549334
1_0,0.2945211,0.45180815,0.82883924
1_1,0.8081812,0.36138573,0.437516
1_2,0.53197515,0.6211023,0.55793536
1_3,0.54642695,0.45685405,0.6965354
2_0,0.7951183,0.3366578,0.483344
2_1,0.5645139,0.6732122,0.4491008
2_2,0.40642503,0.39247072,0.80841136
2_3,0.636719,0.46621332,0.6105789
2_4,0.46924755,0.5664306,0.66930526
2_5,0.5537265,0.6040368,0.567283
2_6,0.53644025,0.4527278,0.69169956
2_7,0.66112524,0.6073941,0.3934056
2_8,0.81346273,0.22462828,0.5015991
2_9,0.6665368,0.505965,0.53597915
2_10,0.5530149,0.40263757,0.72238326
2_11,0.59965914,0.71865875,0.31415057
2_12,0.48724547,0.60351664,0.6143128
3_0,0.6344574,0.45240784,0.61349666
3_1,0.38561282,0.48466474,0.76610667
3_2,0.7487506,0.47640654,0.4155895
3_3,0.20473436,0.5386032,0.78828454
3_4,0.5885117,0.48550254,0.6278569
3_5,0.8587189,0.33834457,0.33966246
4_0,0.68773204,0.42814958,0.5645551
4_1,0.46136767,0.7967044,0.35454166
4_2,0.46057335,0.5173243,0.7006977
