Key,T1,T2,T3
0_0,0.39036193,0.74869204,0.4765699
0_1,0.5963148,0.40661368,0.64275837
0_2,0.6290865,0.48765007,0.5797485
0_3,0.45277384,0.30042484,0.79392415
0_4,0.32212517,0.19722536,0.85148114
0_5,0.59114075,0.6090226,0.48925573
0_6,0.41461584,0.36831966,0.7974968
0_7,0.6353524,0.50201297,0.5529298
0_8,0.5539159,0.6315538,0.48522195
3_0,0.570172,0.6142463,0.526497
3_1,0.42623588,0.40814954,0.7672832
3_2,0.8458298,0.20116796,0.41959447
3_3,0.3281902,0.8152878,0.44367647
3_4,0.58224857,0.5070988,0.5887581
3_5,0.3909244,0.7726811,0.44898605
3_6,0.43194535,0.33624515,0.8070671
