Key,T1,T2,T3,T4
0_0,0.4755689257835722,0.45279986386648735,0.5435989981867343,0.45556295459372786
1_0,0.35776779743962756,0.4749084430741039,0.4971136802455508,0.5466231079813799
2_0,0.3811286995707744,0.47384086972535683,0.5761585017404056,0.43869451297852113
3_0,0.43565039466884387,0.4584051362055073,0.5127343050740221,0.5143075019204426
4_0,0.3736111527375657,0.5068768006480507,0.5814344035754275,0.41985552522188674
5_0,0.33604380127217337,0.5906720645112802,0.4285335402715586,0.48952365085273464
6_0,0.4293854986373173,0.5419498178920246,0.4624236353105561,0.45765177160376264
7_0,0.462239784676789,0.45045730669330386,0.5402747469144682,0.46482560570151
8_0,0.4982433265890966,0.43636489944000717,0.4445330405885769,0.4916624791299186
9_0,0.4932843040904814,0.48528235058925373,0.5127261442656247,0.3755036585409632
10_0,0.4864606198127506,0.45438743582603147,0.5505053980168503,0.41221481415474737
11_0,0.4640182060577551,0.5478429554356301,0.38935151008511293,0.4462801934359433
12_0,0.5156905571260005,0.42471784465074164,0.48369099769507523,0.46208927332745514
13_0,0.5594042188457825,0.496122943299737,0.39626318368013724,0.4286705784112762
14_0,0.3391931539499851,0.5053646620333335,0.585618374781779,0.471838628636183
15_0,0.2867660827207927,0.669734200024178,0.4982106672949713,0.39923772078416003
17_0,0.5943565450151936,0.4140713876796623,0.46498634788904564,0.41721395952482393
18_0,0.3859137364594041,0.4573120686906606,0.5222368066443362,0.5223964175168844
