,HSCs->HSCs->HSCs->HSCs[0_0],HSCs->HSCs->HSCs->MKP[2_0],HSCs->HSCs->MKP->MKP[3_0],HSCs->LMPPs->LMPPs->MKP[4_0],HSCs->LMPPs->MKP->MKP[5_0],EryP->EryP->EryP->EryP[6_0],EryP->EryP->LMPPs->LMPPs[7_0],EryP->EryP->EryP->LMPPs[8_0],EryP->EryP->LMPPs->MKP[9_0],MKP->MKP->LMPPs->LMPPs[10_0],MKP->MKP->LMPPs->MKP[11_0],MKP->MKP->MKP->MKP[12_0],eosiP->LMPPs->LMPPs->LMPPs[13_0],eosiP->LMPPs->LMPPs->MKP[14_0],eosiP->LMPPs->MKP->MKP[15_0],LMPPs->LMPPs->LMPPs->LMPPs[16_0],LMPPs->MKP->LMPPs->LMPPs[17_0],LMPPs->LMPPs->LMPPs->MKP[18_0],LMPPs->LMPPs->MKP->MKP[19_0],LMPPs->MKP->LMPPs->MKP[20_0],LMPPs->MKP->MKP->MKP[21_0],MYP->EryP->EryP->EryP[22_0],MYP->EryP->LMPPs->LMPPs[23_0],MYP->EryP->EryP->LMPPs[24_0],MYP->MYP->MYP->MYP[25_0],MYP->MYP->MYP->MKP[26_0],MYP->EryP->LMPPs->MKP[27_0],MYP->MYP->EryP->EryP[28_0],MYP->MYP->EryP->LMPPs[29_0],eosiP->MKP->LMPPs->MKP[30_0],eosiP->MKP->MKP->MKP[31_0],eosiP->MKP->EryP->EryP[32_0],eosiP->MKP->LMPPs->LMPPs[33_0],eosiP->MKP->EryP->LMPPs[34_0],MKP->LMPPs->LMPPs->MKP[35_0],MKP->LMPPs->MKP->MKP[36_0],MKP->EryP->LMPPs->MKP[37_0],MKP->MKP->EryP->EryP[38_0],MKP->EryP->EryP->EryP[39_0],MKP->MKP->EryP->LMPPs[40_0],MKP->LMPPs->LMPPs->LMPPs[41_0],MKP->EryP->EryP->LMPPs[42_0],MKP->EryP->LMPPs->LMPPs[43_0],LMPPs->MKP->EryP->EryP[44_0],LMPPs->MKP->EryP->LMPPs[45_0]
10,Flywch2,Selm,Csad,Rps24,Rps24,Rpl39,Rpl39,Snrpf,Rpl39,Rps24,Rps24,Plgrkt,Rpl39,Rpl39,Rpl39,Rps24,Rps24,Rps24,Rps24,Rps24,Rps24,Rps9,Fth1,Fth1,Npdc1,Myl10,Fth1,Nsa2,Rps9,Rpl39,Rpl39,Rpl39,Rpl39,Rpl39,Rps24,Rps24,Snrpf,Rpl39,Rpl39,Rps24,Rps24,Snrpf,Snrpf,Rpl39,Rps24
11,Selm,Gimap6,Krt18,Rpl39,Rpl39,Npm1,Npm1,Rpl39,Npm1,Snrpf,Snrpf,Rapgef3,Npm1,Npm1,Npm1,Rpl39,Snrpf,Rpl39,Rpl39,Snrpf,Snrpf,Nsa2,Rps9,Rps9,H2-Ab1,Vgll4,Rps9,Fau,Nsa2,Npm1,Npm1,Npm1,Npm1,Npm1,Snrpf,Snrpf,Rpl39,Npm1,Npm1,Snrpf,Snrpf,Rpl39,Rpl39,Npm1,Snrpf
12,Gimap6,Krt18,Clec2d,Snrpf,Snrpf,Dbi,Fth1,Npm1,Fth1,Rpl39,Rpl39,Arhgap30,Fth1,Fth1,Fth1,Snrpf,Rpl39,Snrpf,Snrpf,Rpl39,Rpl39,Fau,Nsa2,Nsa2,Nfkbiz,Gimap5,Nsa2,Hspd1,Fau,Fth1,Fth1,Rps9,Fth1,Fth1,Rpl39,Rpl39,Npm1,Dbi,Dbi,Rpl39,Rpl39,Npm1,Npm1,Dbi,Rpl39
13,Krt18,Csad,0610009L18Rik,Npm1,Npm1,Rps9,Dbi,Fth1,Dbi,Npm1,Npm1,BC035044,Rps9,Rps9,Rps9,Npm1,Npm1,Npm1,Npm1,Npm1,Npm1,Ppdpf,Fau,Fau,Myl10,Pear1,Fau,2700094K13Rik,Tagln2,Rps9,Rps9,Nsa2,Rps9,Rps9,Npm1,Npm1,Fth1,Rps9,Rps9,Npm1,Npm1,Fth1,Fth1,Rps9,Npm1
14,Cd63,Clec2d,Mllt3,Fth1,Fth1,Nsa2,Rps9,Dbi,Rps9,Fth1,Fth1,Npc2,Nsa2,Nsa2,Nsa2,Fth1,Fth1,Fth1,Fth1,Fth1,Fth1,Hspd1,Tagln2,Tagln2,Vgll4,2900026A02Rik,Tubb5,Actg1,Hspd1,Nsa2,Nsa2,Fau,Nsa2,Nsa2,Fth1,Fth1,Dbi,Nsa2,Nsa2,Fth1,Fth1,Dbi,Dbi,Nsa2,Fth1
15,Csad,0610009L18Rik,2610035D17Rik,Dbi,Dbi,Taldo1,Npc2,Rps9,Nsa2,Dbi,Dbi,Vim,Fau,Fau,Fau,Dbi,Dbi,Dbi,Dbi,Dbi,Dbi,2700094K13Rik,Hspd1,Hspd1,Gimap5,Mecom,Tagln2,Tgfb1,Actg1,Fau,Fau,Hspd1,Fau,Fau,Dbi,Dbi,Rps9,Fau,Taldo1,Dbi,Dbi,Rps9,Rps9,Fau,Dbi
16,Clec2d,Itih5,Ier2,Rps9,Rps9,Fau,Nsa2,Npc2,Tuba4a,Rps9,Rps9,Plac8,Tagln2,Tagln2,Tagln2,Rps9,Rps9,Rps9,Rps9,Rps9,Rps9,Actg1,Actg1,Actg1,Pear1,Dusp6,Hspd1,Sfpq,Nap1l1,Tagln2,Tagln2,2700094K13Rik,Tagln2,Tagln2,Rps9,Rps9,Nsa2,Ctsz,Fau,Rps9,Rps9,Nsa2,Nsa2,Sec61b,Rps9
17,0610009L18Rik,Mllt3,Nfia,Nsa2,Nsa2,Ppdpf,Tuba4a,Nsa2,Fau,Nsa2,Nsa2,H2-Oa,Hspd1,Hspd1,Hspd1,Nsa2,Nsa2,Nsa2,Nsa2,Nsa2,Nsa2,Tgfb1,Nap1l1,Nap1l1,2900026A02Rik,Gng11,2700094K13Rik,Nap1l1,Rps5,Hspd1,Hspd1,Actg1,Hspd1,Hspd1,Nsa2,Nsa2,Fau,Sec61b,Ppdpf,Nsa2,Nsa2,Taldo1,Taldo1,Hspd1,Nsa2
18,Vwf,2610035D17Rik,Fam213a,Tuba4a,Tuba4a,Ctsz,Taldo1,Tuba4a,Ctsz,Fau,Fau,Tspo2,Actg1,2700094K13Rik,2700094K13Rik,Tuba4a,Fau,Tuba4a,Tuba4a,Fau,Fau,Sfpq,Rps5,Rps5,Mecom,Stat4,Actg1,Rps5,Hmgb1,2700094K13Rik,2700094K13Rik,Sfpq,Actg1,Actg1,Fau,Fau,Ctsz,Hspd1,Ctsz,Fau,Taldo1,Fau,Fau,2700094K13Rik,Fau
19,Itih5,Ier2,Fos,Fau,Fau,Sec61b,Fau,Taldo1,Tubb5,Ctsz,Ctsz,Ms4a3,Nap1l1,Actg1,Actg1,Taldo1,Sec61b,Fau,Fau,Sec61b,Sec61b,Nap1l1,Hmgb1,Hmgb1,Dusp6,Ifitm1,Tgfb1,Hmgb1,Stmn1,Actg1,Actg1,Nap1l1,Nap1l1,Nap1l1,Sec61b,Sec61b,Sec61b,Actg1,Sec61b,Ctsz,Fau,Ctsz,Ctsz,Actg1,Sec61b
