Key,T1,T2,T3
0_0,0.3762444,0.81359816,0.3626269
0_1,0.38173628,0.6746205,0.5977225
0_2,0.44598612,0.49509853,0.71673346
0_3,0.38245898,0.8267756,0.31379882
0_4,0.62600654,0.4284929,0.6378583
0_5,0.51567465,0.5551494,0.6429167
0_6,0.5634985,0.71295744,0.37421095
0_7,0.53660756,0.4056303,0.701476
0_8,0.63601553,0.42911682,0.6127797
0_9,0.41490144,0.5621696,0.67934763
0_10,0.6854888,0.43275172,0.53520346
1_0,0.30012712,0.8810874,0.31534642
1_1,0.40177637,0.6424929,0.64307815
1_2,0.66866726,0.55458975,0.45841652
1_3,0.52787447,0.68516093,0.48604542
1_4,0.37984073,0.5748038,0.7065315
1_5,0.6186627,0.47636628,0.6084876
1_6,0.37339163,0.76827115,0.5059793
1_7,0.47363815,0.4973346,0.7155812
1_8,0.41313666,0.7573245,0.49249884
1_9,0.4931027,0.6008773,0.62238896
1_10,0.5773077,0.66552556,0.46327648
1_11,0.54838187,0.6995693,0.44289157
1_12,0.564843,0.5106087,0.6266315
1_13,0.4147833,0.86687905,0.23112188
2_0,0.48468447,0.3557555,0.775308
2_1,0.6574509,0.4225239,0.60460824
2_2,0.50766957,0.61211616,0.59879977
2_3,0.45640266,0.76858425,0.4272796
2_4,0.6019123,0.4248069,0.66971886
2_5,0.46761462,0.6096832,0.62829614
2_6,0.35253575,0.76983804,0.4944094
2_7,0.6868148,0.58578557,0.41237703
2_8,0.29987985,0.49063796,0.8020518
2_9,0.4006819,0.86808765,0.24522956
