,CD14+Mono->CD14+Mono->CD14+Mono[0_0],CD14+Mono->CD14+Mono->CD14+Mono[0_1],CD14+Mono->CD14+Mono->CD14+Mono[0_2],CD14+Mono->CD14+Mono->CD14+Mono[0_4],CD14+Mono->CD14+Mono->CD14+Mono[0_7],CD14+Mono->CD14+Mono->CD14+Mono[0_9],CD14+Mono->CD14+Mono->CD14+Mono[0_12],CD4+T->CD4+T->CD4+T[1_1],CD4+T->CD4+T->CD4+T[1_2],CD4+T->CD4+T->CD4+T[1_3]
61,,TNFSF13B,,RBM3,,,,,,
62,,CD14,,CFP,,,,,,
63,,APOBEC3A,,RPS6,,,,,,
64,,HCK,,,,,,,,
65,,CALM1,,,,,,,,
66,,LILRB2,,,,,,,,
67,,VSIR,,,,,,,,
68,,MNDA,,,,,,,,
69,,SERPINA1,,,,,,,,
70,,TYMP,,,,,,,,
71,,LILRA5,,,,,,,,
72,,S100A9,,,,,,,,
73,,FGL2,,,,,,,,
74,,CTSD,,,,,,,,
75,,LGALS9,,,,,,,,
76,,ODF3B,,,,,,,,
77,,IFI27,,,,,,,,
78,,GRN,,,,,,,,
79,,IFITM3,,,,,,,,
80,,LILRB3,,,,,,,,
81,,LRRC25,,,,,,,,
82,,SCO2,,,,,,,,
83,,RNASE2,,,,,,,,
84,,CNIH4,,,,,,,,
85,,FCGR2A,,,,,,,,
86,,IGFBP7,,,,,,,,
87,,LY6E,,,,,,,,
88,,SELL,,,,,,,,
89,,ITGB2,,,,,,,,
90,,IFITM2,,,,,,,,
91,,SPI1,,,,,,,,
92,,MT2A,,,,,,,,
