Key,T1,T2,T3,T4
0_0,0.42321652,0.46889594,0.465692,0.56410176
0_1,0.68294865,0.43806025,0.38788047,0.30028072
0_2,0.47704628,0.46557,0.52217877,0.4792841
0_3,0.3177806,0.56556994,0.46708515,0.56527704
0_4,0.5743623,0.57565737,0.3034917,0.39207783
0_5,0.69828933,0.32788312,0.49110845,0.33641732
0_6,0.49427393,0.75335085,0.23197328,0.2012394
0_7,0.4573053,0.58367497,0.46251604,0.28124878
0_8,0.38697645,0.50643927,0.50835115,0.5571437
0_9,0.3786878,0.46126223,0.5722701,0.50936276
0_10,0.25750417,0.58555037,0.35133678,0.5263687
1_0,0.6079514,0.41976374,0.3871585,0.47982025
1_1,0.2961017,0.47851956,0.5480783,0.5879405
1_2,0.45308325,0.4743306,0.5385774,0.51523775
1_3,0.5029167,0.5144879,0.4882722,0.47142303
1_4,0.24846755,0.5966449,0.44661164,0.5899956
1_5,0.36827776,0.3018506,0.46152022,0.72411394
2_0,0.5104279,0.6007393,0.4299018,0.42449972
2_1,0.6430355,0.33840227,0.49559832,0.46221167
2_2,0.33147466,0.5944154,0.48939154,0.52718234
2_3,0.47011033,0.4807452,0.5471235,0.49148905
2_4,0.44572842,0.4829648,0.4416686,0.6025642
2_5,0.5730826,0.47264084,0.5325831,0.37886378
3_0,0.2930884,0.41753396,0.54321945,0.582712
3_1,0.38548005,0.52135193,0.4104142,0.56867045
3_2,0.6449418,0.48528385,0.42319098,0.37427354
3_3,0.68939716,0.5343147,0.2905176,0.2938468
4_0,0.48246023,0.38681588,0.48260278,0.60323113
4_1,0.446947,0.5463099,0.49863937,0.48847952
4_2,0.66664225,0.38174704,0.47912094,0.36904395
6_0,0.30822074,0.55202335,0.49428332,0.5308198
6_1,0.54999316,0.43232328,0.4678975,0.45176297
6_2,0.26642603,0.1506531,0.24677745,0.8657592
6_3,0.64738744,0.42479515,0.36686388,0.42843357
6_4,0.46182382,0.42288357,0.57518774,0.5034798
6_5,0.5136921,0.6546886,0.31181696,0.37976703
6_6,0.6212859,0.45066056,0.45856395,0.3779706
6_7,0.17826472,0.24362339,0.78822327,0.42198956
6_8,0.36572492,0.8081016,0.16327216,0.31077668
6_9,0.63287055,0.50708926,0.3338917,0.3970917
6_10,0.5485426,0.22144982,0.63418955,0.43498254
